Eleutherodactylus pygmaeus
Colostethus talamancae
Bufo nayaritensis
Hyla rickardsi
Bufo bankorensis
Rana latouchii
Rana chalconota chalconota
Occidozyga laevis
Rana glandulosa
Bufo spinulosus chilensis
Batrachyla taeniata
Rana hosii
Limnonectes leporinus
Limnonectes ibanorum
Philautus hosii
Rhacophorus dulitensis
Leptobrachella mjobergi
Pedostibes hosii
Ptychadena taenioscelis
Limnonectes tweediei
Pseudopaludicola falcipes
Hyperolius marmoratus angolensis
Kaloula pulchra
Amolops larutensis
Leptobrachium hendricksoni
Rhacophorus gauni
Rana baramica
Rana raniceps
Limnonectes ingeri
Rhacophorus harrissoni
Metaphrynella sundana
Limnonectes palavanensis
Occidozyga baluensis
Ptychadena perreti
Hyperolius lateralis kochi
Occidozyga martensii
Xenopus borealis
Agalychnis annae
Limnonectes macrocephalus
Hyla rufioculis
Pelophryne brevipes
Nyctixalus pictus
Rana laterimaculata
Limnonectes plicatellus
Amolops marmoratus
Lechriodus melanopyga
Leptopelis
Limnonectes microdiscus
Rana porosa
Neobatrachus sutor
Telmatobius culeus
Eupsophus
Pleurodema
Batrachyla
Ansonia longidigita
Hyperolius quinquevittatus
Rana temporalis
Nyctibatrachus major
Huia cavitympanum
Meristogenys poecilus
Ansonia albomaculata
Adelotus brevis
Crinia
Pseudophryne coriacea
Litoria adelaidensis
Uperoleia rugosa
Litoria citropa
Litoria fallax
Litoria lesueurii
Meristogenys orphnocnemis
Rhacophorus kajau
Limnonectes finchi
Breviceps adspersus
Chaperina fusca
Staurois latopalmatus
Meristogenys whiteheadi
Meristogenys
Leptobrachium montanum
Ingerana baluensis
Meristogenys amoropalamus
Nectophrynoides vestergaardi
Rhacophorus rufipes
Rana attigua
Rana milleti
Rana banaorum
Rhacophorus annamensis
Amolops spinapectoralis
Rana taipehensis
Limnonectes shompenorum
Rana johnsi
Fejervarya iskandari
Limnonectes
Ophryophryne hansi
Platymantis hazelae
Platymantis
Philautus acutirostris
Rana crassiovis
Polypedates otilophus
Rana chloronota
Arthroleptis sylvaticus
Oreolalax omeimontis
Hyperolius puncticulatus
Hyperolius spinigularis
Leptobrachium
Pseudophryne bibronii
Litoria peronii
Hyla nana
Leptopelis karissimbensis
Rhinoderma darwini
Leptodactylus pallidirostris
Bufo andrewsi
Mannophryne trinitatis
Rana grandocula
Kalophrynus pleurostigma
Ansonia muelleri
Pelophryne albotaeniata
Spea
Phyllobates bicolor
Rana everetti
Kaloula conjuncta
Telmatobius culeus exsul
Afrixalus fulvovittatus
Ansonia platysoma
Kaloula baleata
Leptolalax dringi
Eleutherodactylus cystignathoides campi
Arthroleptis poecilonotus
Phrynobatrachus villiersi
Phrynobatrachus gutturosus
Limnonectes magnus
Crinia signifera signifera
Limnodynastes tasmaniensis
Glyphoglossus molossus
Limnonectes gyldenstolpei
Microhyla butleri
Rhacophorus jarujini
Boophis madagascariensis
Boophis mandraka
Boophis
Aglyptodactylus madagascariensis
Tomopterna delalandii
Heleophryne orientalis orientalis
Cacosternum boettgeri
Leptopelis mossambicus
Xenopus laevis laevis
Microbatrachella capensis
Huia sumatrana
Rhinoderma rufum
Atelopus limosus
Eleutherodactylus rubrimaculatus
Scaphiopus hurteri
Eleutherodactylus planirostris
GASTROPHRYNE CAROLINENSIS
HYLA FEMORALIS
RANA LUTEIVENTRIS
SCAPHIOPUS HURTERI
"Alytes cisternasii Boscá, 1879"
"Bufo mauritanicus Schlegel, 1841"
"Discoglossus galganoi Capula, Nascetti, Lanza, Bullini & Crespo, 1985"
"Lithobates sylvaticus (LeConte, 1825)"
"Rana iberica Boulenger, 1879"
"Hyla meridionalis (Boettger, 1874)"
Copiula oxyrhina
Atelognathus patagonicus
HYLARANA erythraea
Duttaphrynus microtympanum
"Leptodactylus plaumanni Ahl, 1936"
"Leptopelis rufus Reichenow, 1874"
Pristimantis nicefori
Pristimantis apiculatus
Pristimantis celator
Pristimantis obmutescens
Atelopus walkeri
Hyloxalus subpunctatus
Centrolene buckleyi
Pristimantis chalceus
Pristimantis lynchi
Pristimantis permixtus
Pristimantis
Atelopus simulatus
Atelopus muisca
Phyllomedusa venusta
Cryptobatrachus fuhrmanni
Physalaemus fischeri
Pristimantis savagei
Pristimantis ruthveni
Dendropsophus mathiassoni
Hyloscirtus palmeri
Hypsiboas andinus
Gastrotheca chrysosticta
Pleurodema
Telmatobius
Pseudis platensis
Dendropsophus minutus
Scinax acuminatus
Leptodactylus chaquensis
Physalaemus albonotatus
Leptodactylus elenae
Rhinella fernandezae
Elachistocleis bicolor
Scinax perereca
Telmatobius platycephalus
Hypsiboas cordobae
Rhinella
Physalaemus biligonigerus
Limnonectes visayanus
Platymantis luzonensis
Ansonia mcgregori
Platymantis guentheri
Megophrys ligayae
Eleutherodactylus abbotti
Eleutherodactylus armstrongi
Rhacophorus bimaculatus
Platymantis polillensis
Rana tipanan
Fejervarya vittigera
Crinia parinsignifera
Plectrohyla glandulosa
Leptodactylus savagei
Litoria iris
Hyla calypsa
Hyla infucata
Leptodactylus poecilochilus
Mannophryne herminae
Chrysobatrachus cupreonitens
Telmatobius peruvianus
Allophryne ruthveni
Pipa arrabali
Atelopus ardila
Centrolene huilense
Phrynomantis bifasciatus
Rheobatrachus silus
Gastrotheca trachyceps
Hyla bocourti
Hypopachus barberi
Pipa carvalhoi
Stefania scalae
Xenopus boumbaensis
Xenopus laevis petersi
Xenopus wittei
Phyllomedusa tomopterna
Eleutherodactylus furcyensis
Eleutherodactylus heminota
Eleutherodactylus junori
Eleutherodactylus cundalli
Eleutherodactylus pantoni pantoni
Eleutherodactylus planirostris planirostrus
Eleutherodactylus schmidti limbensis
Platymantis cagayanensis
Limnonectes woodworthi
Platymantis cornutus
Triprion petasatus
Hypsiboas
Leptodactylus mystacinus
Phyllomedusa hypochondrialis subsp. azurea
Scinax fuscovarius
Telmatobius scrocchii
Litoria impura
Rana grisea
Cophixalus riparius
Litoria dorsivena
Sphenophryne cornuta
Oreophryne brevicrus
Litoria nigrofrenata
Bombina variegata
Mixophyes fasciolatus
Bufo gargarizans
Rana rugosa
Hyalinobatrachium taylori
Leptodactylus mystacinus
Leiopelma archeyi
Agalychnis saltator
"Amietophrynus fuliginatus (de Witte,1932)"
"Amietophrynus superciliaris (Boulenger,1888)"
"Hyperolius nasutus Günther,1864"
"Hyperolius tuberculatus tuberculatus (Mocquard,1897)"
Dendropsophus minutus (Peters )
Afrixalus delicatus
Afrixalus dorsalis
Atelopus ebenoides marinkellei
Atelognathus praebasalticus dobeslawi
Atelopus pedimarmoratus
Aubria masako
Buergeria pollicaris
Craugastor alfredi
Craugastor rugulosus
Eleutherodactylus jugans
Epidalea calamita
Hyla arborea
Hyla eximia
